GCF_000867625.1	GCA_020386575.1	Phormidium sp. PBR-2020
GCF_000881375.1	GCA_000092045.1	Rhizobium etli
GCF_000881375.1	GCA_000172755.1	Rhizobium etli
GCF_000881375.1	GCA_001908615.1	Rhizobium gallicum
GCF_000881375.1	GCA_002119845.1	Rhizobium etli
GCF_000881375.1	GCA_004306555.1	Rhizobium leguminosarum
GCF_000886415.1	GCA_023611505.1	Streptococcus oralis
GCF_000907075.1	GCA_026399275.1	Aeromonas sp.
GCF_002627105.1	GCA_003359505.2	Acinetobacter nosocomialis
GCF_003369145.1	GCA_003359505.2	Acinetobacter nosocomialis
GCF_000900455.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000900455.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000910235.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000910235.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000899595.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000899595.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000903995.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000903995.1	GCA_003516125.3	Cronobacter sakazakii
GCF_002630925.1	GCA_000263215.1	Cronobacter sakazakii
GCF_002630925.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000901535.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000901535.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000894715.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000894715.1	GCA_003516125.3	Cronobacter sakazakii
GCF_002612105.1	GCA_000263215.1	Cronobacter sakazakii
GCF_002612105.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000904915.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000904915.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000923635.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000923635.1	GCA_003516125.3	Cronobacter sakazakii
GCF_003668515.1	GCA_000263215.1	Cronobacter sakazakii
GCF_003668515.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000901875.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000901875.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000898015.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000898015.1	GCA_003516125.3	Cronobacter sakazakii
GCF_002611805.1	GCA_000263215.1	Cronobacter sakazakii
GCF_002611805.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000903875.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000903875.1	GCA_003516125.3	Cronobacter sakazakii
GCF_009928405.1	GCA_000263215.1	Cronobacter sakazakii
GCF_009928405.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000898515.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000898515.1	GCA_003516125.3	Cronobacter sakazakii
GCF_001503575.1	GCA_000263215.1	Cronobacter sakazakii
GCF_001503575.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000920235.1	GCA_000263215.1	Cronobacter sakazakii
GCF_000920235.1	GCA_003516125.3	Cronobacter sakazakii
GCF_000916615.1	GCA_001593305.1	Psychrobacter sp. P11G5
GCF_000839925.2	GCA_000700025.2	Halorubrum saccharovorum
GCF_001736875.1	GCA_037148075.1	Gordonia malaquae
GCF_001470395.1	GCA_037148075.1	Gordonia malaquae
GCF_001502075.1	GCA_037148075.1	Gordonia malaquae
GCF_001736635.1	GCA_037148075.1	Gordonia malaquae
GCF_001737095.1	GCA_037148075.1	Gordonia malaquae
GCF_000894035.1	GCA_037148075.1	Gordonia malaquae
GCF_001470695.1	GCA_037148075.1	Gordonia malaquae
GCF_001736415.1	GCA_037148075.1	Gordonia malaquae
GCF_002621285.1	GCA_003812925.1	Klebsiella oxytoca
GCF_000846725.1	GCA_003812925.1	Klebsiella oxytoca
